,support_tick_id,support_ticket_text,model_response_1,model_response_2,model_response_3,model_response_4,model_response_1_parsed,category,model_response_2_parsed,priority,ETA,model_response_3_parsed,sentiment,model_response_4_parsed,tags,summary,model_response_5
10,TF-2024-011,"I have been trying to cancel my subscription for two weeks. Every time I click the cancel button in settings, I get an error message saying 'Action failed, please try again'. I do not want to be charged next month.","{ ""category"" : ""Billing & Subscriptions"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Account Management"", ""Billing & Payment"", ""Login & Authentication""], ""Summary"" : ""Customer struggles to cancel subscription.""}",{'category': 'Billing & Subscriptions'},Billing & Subscriptions,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Account Management', 'Billing & Payment', 'Login & Authentication'], 'Summary': 'Customer struggles to cancel subscription.'}","['Account Management', 'Billing & Payment', 'Login & Authentication']",Customer struggles to cancel subscription.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Billing & Subscriptions and we are treating this as urgent. We are working to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
11,TF-2024-012,TaskFlow's API documentation is missing examples for the webhooks endpoint. Our engineering team is trying to build a custom integration and we are stuck without proper documentation.,"{ ""category"" : ""How-to & Guidance"" }","{ ""priority"" : ""P3"", ""ETA"": ""Within 24 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""API & Developer"", ""Integration & Sync"", ""Documentation""], ""Summary"" : ""Customer needs API documentation.""}",{'category': 'How-to & Guidance'},How-to & Guidance,"{'priority': 'P3', 'ETA': 'Within 24 hours'}",P3,Within 24 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['API & Developer', 'Integration & Sync', 'Documentation'], 'Summary': 'Customer needs API documentation.'}","['API & Developer', 'Integration & Sync', 'Documentation']",Customer needs API documentation.,"{""first_response"":""Sorry for the inconvenience. We understand this issue is related to How-to & Guidance and we're working to resolve it. We'll provide an update within 24 hours. Warm regards, TaskFlow Customer Success Team""}"
12,TF-2024-013,The bulk task assignment feature would save our project managers so much time. Currently we have to assign tasks one by one. Please consider adding the ability to select multiple tasks and assign them all at once.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Positive"" }","{ ""Tags"" : [""Task Management"", ""Feature Request"", ""Account Management""], ""Summary"" : ""Customer requests bulk task assignment.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Positive'},Positive,"{'Tags': ['Task Management', 'Feature Request', 'Account Management'], 'Summary': 'Customer requests bulk task assignment.'}","['Task Management', 'Feature Request', 'Account Management']",Customer requests bulk task assignment.,"{""first_response"":""Thank you for sharing your valuable feedback. We've noted your request under Feature Requests & Feedback. A Product Specialist will be in touch within 48 hours to discuss further. Warm regards, TaskFlow Customer Success Team""}"
13,TF-2024-014,I cannot export my project data to Excel. The export button does nothing when I click it. I need this data urgently for a board presentation tomorrow morning.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Data Export & Import"", ""Desktop App"", ""Performance & Speed""], ""Summary"" : ""Customer cannot export project data.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Data Export & Import', 'Desktop App', 'Performance & Speed'], 'Summary': 'Customer cannot export project data.'}","['Data Export & Import', 'Desktop App', 'Performance & Speed']",Customer cannot export project data.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
14,TF-2024-015,Our entire team has been logged out simultaneously and cannot log back in. We are getting an error that says 'Service temporarily unavailable'. Is there an outage? We have a critical deadline today.,"{ ""category"" : ""Account & Access"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Login & Authentication"", ""Performance & Speed"", ""Escalation""], ""Summary"" : ""Team is locked out.""}",{'category': 'Account & Access'},Account & Access,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Login & Authentication', 'Performance & Speed', 'Escalation'], 'Summary': 'Team is locked out.'}","['Login & Authentication', 'Performance & Speed', 'Escalation']",Team is locked out.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Account & Access and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
15,TF-2024-016,I was overcharged for additional seats last month. We removed 5 users from our account on the 1st of the month but were still billed for them. Please audit our account and issue a credit.,"{ ""category"" : ""Billing & Subscriptions"" }","{ ""priority"" : ""P3"", ""ETA"": ""Within 24 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Billing & Payment"", ""Account Management"", ""Refund Request""], ""Summary"" : ""Customer overcharged for seats.""}",{'category': 'Billing & Subscriptions'},Billing & Subscriptions,"{'priority': 'P3', 'ETA': 'Within 24 hours'}",P3,Within 24 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Billing & Payment', 'Account Management', 'Refund Request'], 'Summary': 'Customer overcharged for seats.'}","['Billing & Payment', 'Account Management', 'Refund Request']",Customer overcharged for seats.,"{""first_response"":""Sorry for the inconvenience. We understand this issue is related to Billing & Subscriptions. We are working to resolve it within 24 hours. Warm regards, TaskFlow Customer Success Team""}"
16,TF-2024-017,"The time tracking feature is inaccurate. It is recording more hours than actually worked. For example, a task I worked on for 1 hour shows 3.5 hours tracked. This is affecting our client billing reports.","{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Task Management"", ""Billing & Payment"", ""Performance & Speed""], ""Summary"" : ""Customer reports time tracking inaccuracy.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Task Management', 'Billing & Payment', 'Performance & Speed'], 'Summary': 'Customer reports time tracking inaccuracy.'}","['Task Management', 'Billing & Payment', 'Performance & Speed']",Customer reports time tracking inaccuracy.,"{""first_response"": ""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we are treating this as urgent. We are working to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
17,TF-2024-018,Would it be possible to add custom fields to tasks? We need to track additional metadata like client names and budget codes that are specific to our business. This would make TaskFlow much more useful for us.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Positive"" }","{ ""Tags"" : [""Feature Request"", ""Task Management"", ""Account Management""], ""Summary"" : ""Customer requests custom fields.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Positive'},Positive,"{'Tags': ['Feature Request', 'Task Management', 'Account Management'], 'Summary': 'Customer requests custom fields.'}","['Feature Request', 'Task Management', 'Account Management']",Customer requests custom fields.,"{""first_response"": ""Thank you for sharing your idea. We understand this is a Feature Request and we're working on it. A Product Specialist will be in touch within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
18,TF-2024-019,The search function does not return results for tasks inside archived projects. I need to find old tasks for a client audit and this is making it very difficult. Please fix or provide a workaround.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Task Management"", ""Search"", ""Account Management""], ""Summary"" : ""Customer struggles with search function.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Task Management', 'Search', 'Account Management'], 'Summary': 'Customer struggles with search function.'}","['Task Management', 'Search', 'Account Management']",Customer struggles with search function.,"{""first_response"": ""Sorry for the frustration. We understand this is a Technical Support & Bugs issue. We're treating this as urgent and are working to resolve it. Expect progress within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
19,TF-2024-020,I am getting a 'Permission denied' error when trying to access a project my manager has shared with me. She has confirmed she set my role to Editor. This has been going on for three days.,"{ ""category"" : ""Account & Access"" }","{ ""priority"" : ""P3"", ""ETA"": ""Within 24 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Permissions & Access"", ""Account Management"", ""Login & Authentication""], ""Summary"" : ""User has permission issues.""}",{'category': 'Account & Access'},Account & Access,"{'priority': 'P3', 'ETA': 'Within 24 hours'}",P3,Within 24 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Permissions & Access', 'Account Management', 'Login & Authentication'], 'Summary': 'User has permission issues.'}","['Permissions & Access', 'Account Management', 'Login & Authentication']",User has permission issues.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Account & Access. We are working to resolve it. Expect an update within 24 hours. Warm regards, TaskFlow Customer Success Team""}"
20,TF-2024-021,We would love to have a portfolio view that shows all projects across our organization in one dashboard with overall completion percentages. This is critical for our executive reporting needs.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Positive"" }","{ ""Tags"" : [""Task Management"", ""Feature Request"", ""Account Management""], ""Summary"" : ""Customer requests portfolio view.""}",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Positive'},Positive,"{'Tags': ['Task Management', 'Feature Request', 'Account Management'], 'Summary': 'Customer requests portfolio view.'}","['Task Management', 'Feature Request', 'Account Management']",Customer requests portfolio view.,"{""first_response"":""Thank you for sharing your idea. We understand this is a Feature Requests & Feedback issue. Your request for a portfolio view is received and we're treating this as urgent. A Product Specialist will be in touch ASAP. 
Warm regards, TaskFlow Customer Success Team""}"
21,TF-2024-022,TaskFlow is extremely slow today. Pages are taking 30 to 40 seconds to load. Our whole team is affected and we are losing significant productivity. Please investigate immediately.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Performance & Speed"", ""Desktop App"", ""Task Management""], ""Summary"" : ""Team experiences slow loading.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Performance & Speed', 'Desktop App', 'Task Management'], 'Summary': 'Team experiences slow loading.'}","['Performance & Speed', 'Desktop App', 'Task Management']",Team experiences slow loading.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we are treating this as urgent. We are working to resolve it. Expect progress within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
22,TF-2024-023,I accidentally added the wrong team members to a confidential project. I cannot figure out how to remove them. The project contains sensitive financial information. This needs to be resolved right now.,"{ ""category"" : ""Account & Access"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Permissions & Access"", ""Security & Compliance"", ""Account Management""], ""Summary"" : ""Customer added wrong team members.""}",{'category': 'Account & Access'},Account & Access,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Permissions & Access', 'Security & Compliance', 'Account Management'], 'Summary': 'Customer added wrong team members.'}","['Permissions & Access', 'Security & Compliance', 'Account Management']",Customer added wrong team members.,"{""first_response"":""Sorry for the frustration caused. We understand this issue is related to Account & Access and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
23,TF-2024-024,Can TaskFlow support Single Sign-On with Okta? Our IT department requires all SaaS tools to use our company SSO. Without this we cannot roll out TaskFlow to our full organization of 500 people.,"{ ""category"" : ""Account & Access"" }","{ ""priority"" : ""P1"", ""ETA"": ""ASAP"" }","{ ""sentiment"" : ""Neutral"" }","{ ""Tags"" : [""Login & Authentication"", ""Security & Compliance"", ""Integration & Sync""], ""Summary"" : ""Customer inquires about Okta SSO support.""}",{'category': 'Account & Access'},Account & Access,"{'priority': 'P1', 'ETA': 'ASAP'}",P1,ASAP,{'sentiment': 'Neutral'},Neutral,"{'Tags': ['Login & Authentication', 'Security & Compliance', 'Integration & Sync'], 'Summary': 'Customer inquires about Okta SSO support.'}","['Login & Authentication', 'Security & Compliance', 'Integration & Sync']",Customer inquires about Okta SSO support.,"{""first_response"":""Thank you for reaching out. We understand this issue is related to Account & Access and we are treating this as urgent. We are working to resolve it ASAP. Warm regards, TaskFlow Customer Success Team""}"
24,TF-2024-025,The email notifications stopped working for my account three days ago. I'm missing task updates and deadline reminders. I have checked my spam folder and confirmed my email is correct in settings.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Frustrated"" }","{ ""Tags"" : [""Notifications"", ""Account Management"", ""Task Management""], ""Summary"" : ""Customer's email notifications stopped working.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Frustrated'},Frustrated,"{'Tags': ['Notifications', 'Account Management', 'Task Management'], 'Summary': ""Customer's email notifications stopped working.""}","['Notifications', 'Account Management', 'Task Management']",Customer's email notifications stopped working.,"{""first_response"": ""Sorry for the frustration caused. We understand this issue is related to Technical Support & Bugs and we're treating this as urgent. We're working to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
25,TF-2024-026,"I would like to request a refund for the annual subscription I purchased last week. After testing the product with my team, we have decided it does not meet our needs. The website says 14-day money back guarantee.","{ ""category"" : ""Billing & Subscriptions"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Billing & Payment"", ""Refund Request"", ""Account Management""], ""Summary"" : ""Customer requests refund.""}",{'category': 'Billing & Subscriptions'},Billing & Subscriptions,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Billing & Payment', 'Refund Request', 'Account Management'], 'Summary': 'Customer requests refund.'}","['Billing & Payment', 'Refund Request', 'Account Management']",Customer requests refund.,"{""first_response"": ""Sorry for the inconvenience. We understand this issue is related to Billing & Subscriptions. We're working to resolve it. Expect a resolution within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
26,TF-2024-027,The recurring task feature creates duplicate tasks randomly. Some tasks appear two or three times in my task list when they should only appear once. This is cluttering my workspace significantly.,"{ ""category"" : ""Technical Support & Bugs"" }","{ ""priority"" : ""P2"", ""ETA"": ""Within 2-4 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Task Management"", ""Performance & Speed"", ""Account Management""], ""Summary"" : ""Customer experiences duplicate tasks.""}",{'category': 'Technical Support & Bugs'},Technical Support & Bugs,"{'priority': 'P2', 'ETA': 'Within 2-4 hours'}",P2,Within 2-4 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Task Management', 'Performance & Speed', 'Account Management'], 'Summary': 'Customer experiences duplicate tasks.'}","['Task Management', 'Performance & Speed', 'Account Management']",Customer experiences duplicate tasks.,"{""first_response"":""Sorry for the inconvenience. We understand this issue is related to Technical Support & Bugs and we're treating this as urgent. We're working to resolve it within 2-4 hours. Warm regards, TaskFlow Customer Success Team""}"
27,TF-2024-028,Please add a native video conferencing integration with Zoom or Google Meet. Currently we have to manually paste meeting links into task comments which is inefficient.,"{ ""category"" : ""Feature Requests & Feedback"" }","{ ""priority"" : ""P4"", ""ETA"": ""Within 48 hours"" }","{ ""sentiment"" : ""Negative"" }","{ ""Tags"" : [""Integration & Sync"", ""Feature Request"", ""Desktop App""], ""Summary"" : ""Customer requests video integration."" }",{'category': 'Feature Requests & Feedback'},Feature Requests & Feedback,"{'priority': 'P4', 'ETA': 'Within 48 hours'}",P4,Within 48 hours,{'sentiment': 'Negative'},Negative,"{'Tags': ['Integration & Sync', 'Feature Request', 'Desktop App'], 'Summary': 'Customer requests video integration.'}","['Integration & Sync', 'Feature Request', 'Desktop App']",Customer requests video integration.,"{""first_response"":""Sorry for the inconvenience. We understand this is a Feature Requests & Feedback issue. A Product Specialist will review your request for native video conferencing integration within 48 hours. Warm regards, TaskFlow Customer Success Team""}"
